,Country,Year,Population,GDP/capita,CO2 emissions tonnes/person
608,United Arab Emirates,1981,1093108,181228,33.7440511234842
609,United Kingdom,1981,56231020,20149,9.95727192174288
610,United States,1981,231765783,30070,19.5288583784839
611,Australia,1982,15101227,23884,15.493290307434
612,Bahrain,1982,385950,38841,25.6332755753004
613,China,1982,1005328574,1175,1.56358243627084
614,India,1982,730303461,1334,0.54338453534214
615,Iran,1982,41862373,10715,3.32586631990588
616,Kuwait,1982,1518855,67708,13.981165727551
617,Qatar,1982,277242,102308,44.9657833430402
618,Russia,1982,139969243,17951,15.405880746143
619,Saudi Arabia,1982,11247085,55569,14.2071935316394
620,Singapore,1982,2520494,22467,11.8023206835594
621,United Arab Emirates,1982,1158477,158177,31.8562054004484
622,United Kingdom,1982,56250124,20607,9.73479351952567
623,United States,1982,233953874,29230,18.3564637636473
624,Australia,1983,15318254,23584,14.6733242938826
625,Bahrain,1983,396447,38395,20.8745598278889
626,China,1983,1019698475,1229,1.62607858898599
627,India,1983,747374856,1412,0.576349783498636
628,Iran,1983,43610506,11655,3.47551189707566
629,Kuwait,1983,1586205,65168,13.638534546059
630,Qatar,1983,309276,90054,36.7573339596749
631,Russia,1983,140951400,18417,15.5168634149143
632,Saudi Arabia,1983,11962244,49634,13.6047622933817
633,Singapore,1983,2583241,24095,13.5469221411993
634,United Arab Emirates,1983,1218223,144955,29.037570702012
635,United Kingdom,1983,56283959,21357,9.67893190116772
636,United States,1983,236161961,30185,18.3270011389069
637,Australia,1984,15548591,24934,15.1962000678275
638,Bahrain,1984,407223,41099,22.7429359062715
639,China,1984,1035328572,1456,1.74427805978936
640,India,1984,764664278,1436,0.582768945376591
641,Iran,1984,45429019,11274,3.36674537714105
642,Kuwait,1984,1657920,63619,17.0879516647279
643,Qatar,1984,341286,85422,36.4428945074106
644,Russia,1984,141955200,18527,15.5449822126464
645,Saudi Arabia,1984,12674089,44693,12.414297299649
646,Singapore,1984,2646981,25649,12.6181276954674
647,United Arab Emirates,1984,1280278,139882,36.2707615004313
648,United Kingdom,1984,56337848,21904,9.37840835021683
649,United States,1984,238404223,32110,18.7187054019003
650,Australia,1985,15791043,25875,15.2546583348132
651,Bahrain,1985,419425,32131,24.448607156934
652,China,1985,1052622410,1557,1.8610764253277
653,India,1985,782085127,1462,0.625144750202067
654,Iran,1985,47290793,11047,3.46075058728402
655,Kuwait,1985,1735320,58143,16.7370517554751
656,Qatar,1985,371071,76910,33.7068779675694
657,Russia,1985,142975753,18576,16.6443475673727
658,Saudi Arabia,1985,13361284,36344,13.0583518696007
659,Singapore,1985,2708634,25245,12.3362122710134
660,United Arab Emirates,1985,1350433,129469,37.0064245119842
661,United Kingdom,1985,56415196,22648,9.90508303579995
662,United States,1985,240691557,33065,18.6050830817256
663,Australia,1986,16047026,26057,14.934370257211
664,Bahrain,1986,433487,29586,25.5567547493878
665,China,1986,1071834975,1604,1.92661235017149
666,India,1986,799607235,1493,0.655586911884176
667,Iran,1986,49205577,9675,3.07839365521216
668,Kuwait,1986,1823201,42858,19.2379168825104
669,Qatar,1986,398326,75482,33.6468055527436
670,Russia,1986,144016095,19221,16.5682984974704
671,Saudi Arabia,1986,14016569,35239,14.7783282029596
672,Singapore,1986,2766755,25812,12.6585297976385
673,United Arab Emirates,1986,1430548,100191,33.0562220100766
674,United Kingdom,1986,56519444,23516,10.0440829452045
675,United States,1986,243032017,33899,18.4428982329951
676,Australia,1987,16314778,26969,15.6814378576912
677,Bahrain,1987,448994,28401,25.6174043241838
678,China,1987,1092646739,1652,2.02353477778511
679,India,1987,817232241,1525,0.684934900036658
680,Iran,1987,51152122,9335,3.1911855823639
681,Kuwait,1987,1917950,47974,16.2427468380653
682,Qatar,1987,423327,71067,27.3739975590672
683,Russia,1987,145056221,19355,17.141509854164
684,Saudi Arabia,1987,14642354,32136,13.1788471470189
685,Singapore,1987,2822828,27957,11.5467687231463
686,United Arab Emirates,1987,1518991,101308,31.440686048929
687,United Kingdom,1987,56649375,24551,10.0754151682464
688,United States,1987,245425409,34787,19.046789203094
689,Australia,1988,16585905,27757,15.7339211984955
690,Bahrain,1988,465235,31346,26.3149164257814
691,China,1988,1114162025,1597,2.13384010219123
692,India,1988,834944397,1649,0.72369969670061
693,Iran,1988,53035939,8626,3.40214492697454
694,Kuwait,1988,2002645,40807,16.2274685602658
695,Qatar,1988,445203,71568,26.9898234720877
696,Russia,1988,146040116,19660,17.4935188010769
697,Saudi Arabia,1988,15239174,32091,13.4613574319872
698,Singapore,1988,2880188,30453,12.533371290102
699,United Arab Emirates,1988,1613904,82687,30.0159026979143
700,United Kingdom,1988,56797704,25750,10.0244547002303
701,United States,1988,247865202,35929,19.6802854397423
702,Australia,1989,16849253,28556,16.479852977795
703,Bahrain,1989,481126,32515,24.5546501532443
704,China,1989,1135128009,1474,2.13447387643616
705,India,1989,852736160,1723,0.774663982456164
706,Iran,1989,54735239,8753,3.58036397601671
707,Kuwait,1989,2054443,46363,17.2215689568285
708,Qatar,1989,463062,73074,31.1462067895933
709,Russia,1989,146895053,19906,17.028401411957
710,Saudi Arabia,1989,15810980,32281,13.0587115105504
711,Singapore,1989,2943633,32597,14.2273005244784
712,United Arab Emirates,1989,1712117,92115,31.875719621444
713,United Kingdom,1989,56953861,26279,10.194315194775
714,United States,1989,250340795,36830,19.7348269840724
715,Australia,1990,17096869,28604,16.8052621740887
716,Bahrain,1990,495944,35398,24.1101311784282
717,China,1990,1154605773,1516,2.1485597024278
718,India,1990,870601776,1777,0.790255780032464
719,Iran,1990,56169196,9511,3.84752002118634
720,Kuwait,1990,2058832,37521,23.1396436981853
721,Qatar,1990,476478,73402,24.8535357586658
722,Russia,1990,147568552,19349,15.8954995333968
723,Saudi Arabia,1990,16361453,35681,13.503167337844
724,Singapore,1990,3016400,34316,15.5594465866479
725,United Arab Emirates,1990,1811458,114832,28.7532487542219
726,United Kingdom,1990,57110117,26424,9.97997464767394
727,United States,1990,252847810,37062,18.8194574331841
728,Australia,1991,17325818,28122,16.2525622860704
729,Bahrain,1991,509654,38315,22.7011522609379
730,China,1991,1172327831,1634,2.22631324737068
731,India,1991,888513869,1760,0.827196149579397
732,Iran,1991,57288039,10502,4.06650705510849
733,Kuwait,1991,2007110,18820,5.01705888647519
734,Qatar,1991,485114,70806,36.5963591385292
735,Russia,1991,148040354,18332,15.2766848637848
736,Saudi Arabia,1991,16890555,37688,16.0616351057319
737,Singapore,1991,3100091,35583,15.2997372127125
738,United Arab Emirates,1991,1913190,109658,29.8488367790477
739,United Kingdom,1991,57264600,26017,10.1847965584717
740,United States,1991,255367160,36543,18.8667949439335
741,Australia,1992,17538387,27895,16.7962684247119
742,Bahrain,1992,522748,39854,20.3760146957709
743,China,1992,1188450231,1845,2.29379463838321
744,India,1992,906461358,1821,0.860997141238036
745,Iran,1992,58130099,10792,4.01371039579432
746,Kuwait,1992,1909096,50924,10.957634924867
747,Qatar,1992,489668,77977,54.8944020668955
748,Russia,1992,148322473,15661,14.3690945864857
749,Saudi Arabia,1992,17398523,38237,16.6098912632976
750,Singapore,1992,3193042,36978,15.7529045945728
751,United Arab Emirates,1992,2019014,107416,28.8622598900912
752,United Kingdom,1992,57419469,26062,10.0478931713812
753,United States,1992,257908206,37321,19.0561643201026
754,Australia,1993,17738428,28732,17.0408019113298
755,Bahrain,1993,535692,43894,28.4386689257811
756,China,1993,1202982955,2078,2.42152143289651
757,India,1993,924475633,1871,0.877182520130182
758,Iran,1993,58811858,10500,4.10329383507428
759,Kuwait,1993,1791511,69683,18.5254888335553
760,Qatar,1993,492120,76440,62.5113616322765
761,Russia,1993,148435811,14320,13.184416819929
762,Saudi Arabia,1993,17890529,37182,17.7485653996029
763,Singapore,1993,3291280,40213,16.6155627614766
764,United Arab Emirates,1993,2127863,103224,31.0949752337429
765,United Kingdom,1993,57575969,26688,9.68295416617178
766,United States,1993,260527420,37844,19.2839234310937
767,Australia,1994,17932214,29580,16.9586589931892
768,Bahrain,1994,549151,42712,27.9708824092123
769,China,1994,1216067023,2323,2.54507356087211
770,India,1994,942604211,1959,0.913860302216405
771,Iran,1994,59501292,10344,4.51974855288449
772,Kuwait,1994,1691891,75577,23.0531167829692
773,Qatar,1994,495179,76944,61.0363153352211
774,Russia,1994,148416292,12535,11.5701013013148
775,Saudi Arabia,1994,18373412,36526,17.0543398103838
776,Singapore,1994,3389119,43231,19.3065338329563
777,United Arab Emirates,1994,2238281,104855,32.7474197410336
778,United Kingdom,1994,57736667,27691,9.5989247963995
779,United States,1994,263301323,38892,19.4371799692048
780,Australia,1995,18124770,30359,16.9664942012591
781,Bahrain,1995,563730,43244,28.6541852019459
782,China,1995,1227841281,2551,2.73477755519341
783,India,1995,960874982,2069,0.953837430859389
784,Iran,1995,60318632,10477,4.57692786167685
785,Kuwait,1995,1637031,82268,33.6730120176512
786,Qatar,1995,501019,77809,61.4754343589876
787,Russia,1995,148293265,12013,11.1794945618278
788,Saudi Arabia,1995,18853670,35870,12.7749466499061
789,Singapore,1995,3482635,44884,13.5296029055755
790,United Arab Emirates,1995,2350192,106425,30.0760032797695
791,United Kingdom,1995,57903790,28317,9.58007002980546
792,United States,1995,266275528,39476,19.3587714932697
793,Australia,1996,18318340,31145,17.9714259622066
794,Bahrain,1996,579855,43781,27.1692809707191
795,China,1996,1238234851,2775,2.82413924120097
796,India,1996,979290432,2186,1.01992741765403
797,Iran,1996,61306632,11043,4.54983494444728
798,Kuwait,1996,1637906,82811,30.8017836523106
799,Qatar,1996,511864,79461,62.1031103270351
800,Russia,1996,148078355,11597,10.9914568329069
801,Saudi Arabia,1996,19331311,36531,13.7720058451295
802,Singapore,1996,3570080,46342,15.4620703397355
803,United Arab Emirates,1996,2467726,106923,16.5949671710221
804,United Kingdom,1996,58079322,28998,9.82361424958139
805,United States,1996,269483224,40501,19.6202337092372
806,Australia,1997,18512971,32013,18.0075885653054
807,Bahrain,1997,597834,43798,29.2041745786016
808,China,1997,1247259143,3000,2.80259728611907
809,India,1997,997817250,2235,1.04326270396504
810,Iran,1997,62426086,11216,4.35721872160439
811,Kuwait,1997,1686256,82227,32.711028195335
812,Qatar,1997,528213,100111,68.6199421191015
813,Russia,1997,147772805,11779,10.5245284245149
814,Saudi Arabia,1997,19809633,37060,11.3676342139014
815,Singapore,1997,3653151,48528,18.8612885904651
816,United Arab Emirates,1997,2595220,109553,15.9450811313072
817,United Kingdom,1997,58263858,29662,9.35415802915326
818,United States,1997,272882865,41812,19.8755940754281
819,Australia,1998,18709175,33085,18.5152704668444
820,Bahrain,1998,618054,44399,30.1077977936545
821,China,1998,1255262566,3205,2.6613200243364
822,India,1998,1016402907,2332,1.05237575035872
823,Iran,1998,63616065,11311,4.89763689262804
824,Kuwait,1998,1766247,80971,29.3363603151644
825,Qatar,1998,548618,107276,59.0324594712126
826,Russia,1998,147385440,11173,10.3324114942437
827,Saudi Arabia,1998,20302193,37671,10.7838942625307
828,Singapore,1998,3735531,45863,15.231054036902
829,United Arab Emirates,1998,2733770,104107,29.572886488354
830,United Kingdom,1998,58456989,30614,9.32226139187304
831,United States,1998,276354096,43166,19.7676521395857
832,Australia,1999,18906936,34346,17.1783558989018
833,Bahrain,1999,640904,44619,28.7476167303535
834,China,1999,1262713651,3419,2.63423156894368
835,India,1999,1034976626,2496,1.10424744630776
836,Iran,1999,64780362,11327,5.95347042976723
837,Kuwait,1999,1853152,75316,29.0850952437617
838,Qatar,1999,570643,107741,55.1090599610438
839,Russia,1999,146924174,11925,10.446933735676
840,Saudi Arabia,1999,20825955,36746,11.5654301652173
841,Singapore,1999,3822619,48271,13.0217592579347
842,United Arab Emirates,1999,2884188,101940,27.0509626268853
843,United Kingdom,1999,58657794,31474,9.12713658353515
844,United States,1999,279730801,44673,19.8037524975084
845,Australia,2000,19107251,35253,17.1972777302329
846,Bahrain,2000,666855,45063,29.2095546853904
847,China,2000,1269974572,3678,2.6828661578551
848,India,2000,1053481072,2548,1.12587291451823
849,Iran,2000,65850062,11719,5.70333293496976
850,Kuwait,2000,1929470,75219,28.429718680988
851,Qatar,2000,593453,112238,58.7640048260702
852,Russia,2000,146400951,13173,10.6159491192082
853,Saudi Arabia,2000,21392273,37531,14.811885520226
854,Singapore,2000,3918183,51663,12.5025727383291
855,United Arab Emirates,2000,3050128,108048,37.1031263979356
856,United Kingdom,2000,58867004,32543,9.23347464670539
857,United States,2000,282895741,45986,20.2234168879701
858,Australia,2001,19308681,35452,16.7592017990951
859,Bahrain,2001,694893,44169,21.6743708269132
860,China,2001,1277188787,3955,2.72888288473589
861,India,2001,1071888190,2628,1.12354170443903
862,Iran,2001,66812736,11977,6.01370783636542
863,Kuwait,2001,1990022,72922,27.4271807620932
864,Qatar,2001,613720,112539,49.9295296329127
865,Russia,2001,145818121,13902,10.658543829707
866,Saudi Arabia,2001,22007937,36387,14.3696495856989
867,Singapore,2001,4023237,49809,12.4434097404409
868,United Arab Emirates,2001,3217865,105860,32.1978933821039
869,United Kingdom,2001,59080221,33282,9.31521281403253
870,United States,2001,285796198,45978,19.6147717576257
871,Australia,2002,19514385,36375,17.3928677632325
872,Bahrain,2002,725365,43654,24.4474901490492
873,China,2002,1284349938,4285,2.87254783076397
874,India,2002,1090189358,2684,1.12674413554899
875,Iran,2002,67696677,12712,5.98310690093734
876,Kuwait,2002,2042215,72630,25.4847129728762
877,Qatar,2002,634388,117133,45.6267733464921
878,Russia,2002,145195521,14629,10.7031805369615
879,Saudi Arabia,2002,22668102,34875,15.2064594170552
880,Singapore,2002,4136102,51435,11.7123326117286
881,United Arab Emirates,2002,3394060,105346,26.0228492761166
882,United Kingdom,2002,59301235,33954,8.96344107302198
883,United States,2002,288470847,46367,19.5877863567126
884,Australia,2003,19735255,37035,17.4618399485487
885,Bahrain,2003,761595,43914,25.4448640530067
886,China,2003,1291485488,4685,3.49835887751312
887,India,2003,1108369577,2850,1.15906825776903
888,Iran,2003,68522074,13454,6.15355426181104
889,Kuwait,2003,2095993,82466,28.9880285714375
890,Qatar,2003,668165,115622,55.3226217801581
891,Russia,2003,144583147,15768,11.0769013776913
892,Saudi Arabia,2003,23357887,35859,14.6519759462519
893,Singapore,2003,4254553,54515,7.61860476499309
894,United Arab Emirates,2003,3625798,109675,31.4123163495943
895,United Kingdom,2003,59548421,35250,9.0696628776645
896,United States,2003,291005482,47260,19.5033538028647
897,Australia,2004,19985475,38130,17.346237280984
898,Bahrain,2004,807989,44206,26.0633758088206
899,China,2004,1298573031,5127,4.06572346859363
900,India,2004,1126419321,3029,1.20072357504232
901,Iran,2004,69321953,13975,6.4946738984657
902,Kuwait,2004,2166344,88010,29.0153468357475
903,Qatar,2004,732096,126335,62.0693769757038
904,Russia,2004,144043914,16967,11.1069978120209
905,Saudi Arabia,2004,24055573,37556,17.0501553381376
906,Singapore,2004,4375230,58977,6.84389070479214
907,United Arab Emirates,2004,3975945,110662,30.953808986702
908,United Kingdom,2004,59846226,35910,9.0222775338304
909,United States,2004,293530886,48597,19.6904618538231
910,Australia,2005,20274282,38840,17.7739756015955
911,Bahrain,2005,867014,44031,26.4980884566512
912,China,2005,1305600630,5675,4.42759216645551
913,India,2005,1144326293,3262,1.23767217480516
914,Iran,2005,70122115,14452,6.72984597541652
915,Kuwait,2005,2263604,92665,31.598891761859
916,Qatar,2005,836924,119134,63.1874355957349
917,Russia,2005,143622566,18118,11.2312652050882
918,Saudi Arabia,2005,24745230,38892,16.5385833170141
919,Singapore,2005,4495531,61921,7.11587914890119
920,United Arab Emirates,2005,4481976,102324,28.5397000847064
921,United Kingdom,2005,60210012,36665,9.00186797186114
922,United States,2005,296139635,49762,19.6275796450254
923,Australia,2006,20606228,39416,17.8931283677432
924,Bahrain,2006,940808,43358,24.0268996766945
925,China,2006,1312600877,6360,4.87902838564946
926,India,2006,1162088305,3514,1.30006733207038
927,Iran,2006,70923164,15127,7.22340037763501
928,Kuwait,2006,2389498,94642,31.3689917515827
929,Qatar,2006,988448,127563,57.986894754631
930,Russia,2006,143338407,19660,11.6330962788701
931,Saudi Arabia,2006,25419994,39958,17.4479640047728
932,Singapore,2006,4614637,65331,6.98336679928329
933,United Arab Emirates,2006,5171255,95637,26.5646348375171
934,United Kingdom,2006,60648850,37504,8.95290098343453
935,United States,2006,298860519,50599,19.1514501035453
936,Australia,2007,20975949,40643,17.8599059810072
937,Bahrain,2007,1026568,43251,24.1927207953049
938,China,2007,1319625197,7225,5.13906937639028
939,India,2007,1179685631,3806,1.37248461797791
940,Iran,2007,71720859,15903,7.55563664813629
941,Kuwait,2007,2538591,94915,30.7330855480269
942,Qatar,2007,1178955,126364,57.0668165007627
943,Russia,2007,143180249,21374,11.6364941850224
944,Saudi Arabia,2007,26083522,41464,15.428819709107
945,Singapore,2007,4732785,68375,3.89627328352629
946,United Arab Emirates,2007,6010100,82993,25.7868731362874
947,United Kingdom,2007,61151820,38164,8.68459542261991
948,United States,2007,301655953,51011,19.2803978154381
949,Australia,2008,21370348,41312,18.0163132681972
950,Bahrain,2008,1115777,42507,23.0900291630518
951,China,2008,1326690636,7880,5.29619359909032
952,India,2008,1197070109,3901,1.52084942072957
953,Iran,2008,72530693,15955,7.89221094080634
954,Kuwait,2008,2705290,91966,31.3738832157213
955,Qatar,2008,1388962,126076,48.7020615159807
956,Russia,2008,143123163,22506,11.9827176136868
957,Saudi Arabia,2008,26742842,44189,15.982246197789
958,Singapore,2008,4849641,65991,4.11444075456769
959,United Arab Emirates,2008,6900142,73029,25.605013655037
960,United Kingdom,2008,61689620,37739,8.52646681764135
961,United States,2008,304473143,50384,18.5459916953635
962,Australia,2009,21770690,41170,18.0372685364855
963,Bahrain,2009,1196774,40825,20.6630083671204
964,China,2009,1333807063,8565,5.76182547330788
965,India,2009,1214182182,4177,1.64114958139706
966,Iran,2009,73370982,16123,7.89517159369317
967,Kuwait,2009,2881243,81025,30.9346759949605
968,Qatar,2009,1591151,122655,41.3788427376158
969,Russia,2009,143126660,20739,11.0036333206092
970,Saudi Arabia,2009,27409491,44276,16.0761552216433
971,Singapore,2009,4965105,63644,5.0073684355967
972,United Arab Emirates,2009,7705423,60955,23.4315705683655
973,United Kingdom,2009,62221164,35840,7.70553925401395
974,United States,2009,307231961,48558,17.2622243104067
975,Australia,2010,22162863,41330,16.7523007806344
976,Bahrain,2010,1261319,40553,19.1784187314506
977,China,2010,1340968737,9430,6.17753037307752
978,India,2010,1230984504,4547,1.64022278757173
979,Iran,2010,74253373,16980,7.72653714573693
980,Kuwait,2010,3059473,75365,34.2331656881273
981,Qatar,2010,1765513,127984,40.0983325875567
982,Russia,2010,143158099,21664,12.1757158816357
983,Saudi Arabia,2010,28090647,45598,16.9206090848496
984,Singapore,2010,5078961,72056,2.65786256654486
985,United Arab Emirates,2010,8329453,56644,22.3094048520817
986,United Kingdom,2010,62716684,36240,7.95446870239122
987,United States,2010,309876170,49373,17.5027178488839
988,Australia,2011,22542371,41706,16.7726604326136
989,Bahrain,2011,1306014,40083,
990,China,2011,1348174478,10274,6.74808802623752
991,India,2011,1247446011,4787,1.67554021299767
992,Iran,2011,75184322,17425,7.82412674000558
993,Kuwait,2011,3239181,79102,33.5657296734907
994,Qatar,2011,1905437,133734,41.2209277998901
995,Russia,2011,143211476,22570,12.6516726041195
996,Saudi Arabia,2011,28788438,49230,17.0060692576473
997,Singapore,2011,5190666,74949,2.71384099142858
998,United Arab Emirates,2011,8734722,56192,21.4823400458136
999,United Kingdom,2011,63164949,36549,7.32499631003011
1000,United States,2011,312390368,49781,16.9831610136306
1001,Australia,2012,22911375,42522,16.1820935346051
1002,Bahrain,2012,1333577,40732,
1003,China,2012,1355386952,11017,7.11264149944653
1004,India,2012,1263589639,4967,1.78103187155657
1005,Iran,2012,76156975,16068,7.9770373715021
1006,Kuwait,2012,3419581,81080,33.4235047915584
1007,Qatar,2012,2015624,130990,46.6431971442317
1008,Russia,2012,143287536,23299,12.6375218172374
1009,Saudi Arabia,2012,29496047,50916,17.611888312859
1010,Singapore,2012,5299524,75630,2.50266144169992
1011,United Arab Emirates,2012,8952542,57028,21.1339851260491
1012,United Kingdom,2012,63573766,36535,7.50253308966125
1013,United States,2012,314799465,50549,16.2181997960571
